model,acc,precision,recall,F1,epochs,seed
patience static,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,116,95822412
patience static,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,363,24942603
patience static,0.6853146853146853,0.6700143472022956,0.645935960591133,0.6489936180657829,157,13356886
patience static,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,197,46913810
patience static,0.7132867132867133,0.704208512673362,0.6752873563218391,0.6801941853488245,169,42868828
patience static,0.6923076923076923,0.6778642149929279,0.6548645320197044,0.6584889274858879,168,39958838
patience static,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,155,28728463
patience static,0.6993006993006993,0.6855813953488372,0.6637931034482758,0.6678550207961973,243,23756669
patience static,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,342,83197857
patience static,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,235,21668732
patience static,0.7132867132867133,0.704208512673362,0.6752873563218391,0.6801941853488245,158,89254563
patience static,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,138,66629388
patience static,0.7062937062937062,0.6947194719471947,0.6695402298850575,0.6740121580547112,131,14265799
patience static,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,196,13999315
patience static,0.6993006993006993,0.6871114299378288,0.6606116584564861,0.6645939017073037,153,22575562
patience static,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,318,39345092
patience static,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,158,41227216
patience static,0.7202797202797203,0.7171679197994987,0.6778530377668309,0.6830673758865249,115,77827638
patience static,0.7132867132867133,0.7006802721088435,0.6816502463054187,0.6862188921594863,167,90801586
patience static,0.7062937062937062,0.6931818181818181,0.6727216748768473,0.6770967741935483,121,13561597
patience static,0.6643356643356644,0.6503378378378378,0.6096059113300493,0.6060606060606061,585,85329037
patience static,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,167,36687537
patience static,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,373,97226012
patience static,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,247,83140807
patience static,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,114,66306997
patience static,0.7132867132867133,0.7098419173890872,0.6689244663382594,0.6733522758928074,114,39587039
patience static,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,189,70291817
patience static,0.6993006993006993,0.6855813953488372,0.6637931034482758,0.6678550207961973,156,89089901
patience static,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,141,47338124
patience static,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,269,10872248
h static,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,116,95822412
h static,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,519,24942603
h static,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,301,13356886
h static,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,267,46913810
h static,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,244,42868828
h static,0.6993006993006993,0.6947089947089947,0.6510673234811166,0.6534798534798535,230,39958838
h static,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,224,28728463
h static,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,259,23756669
h static,0.6783216783216783,0.6634085213032581,0.6338259441707718,0.6355274822695035,354,83197857
h static,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,285,21668732
h static,0.6923076923076923,0.679368932038835,0.6516830870279147,0.6550438596491228,234,89254563
h static,0.6993006993006993,0.6891025641025641,0.6574302134646962,0.6611187655001378,225,66629388
h static,0.7062937062937062,0.6947194719471947,0.6695402298850575,0.6740121580547112,131,14265799
h static,0.6783216783216783,0.6634085213032581,0.6338259441707718,0.6355274822695035,247,13999315
h static,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,227,22575562
h static,0.6713286713286714,0.6590909090909091,0.6185344827586207,0.6166657160782524,351,39345092
h static,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,236,41227216
h static,0.7202797202797203,0.7171679197994987,0.6778530377668309,0.6830673758865249,115,77827638
h static,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,315,90801586
h static,0.7062937062937062,0.6931818181818181,0.6727216748768473,0.6770967741935483,121,13561597
h static,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,576,85329037
h static,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,229,36687537
h static,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,361,97226012
h static,0.6853146853146853,0.668953488372093,0.6491174055829229,0.6524064171122994,257,83140807
h static,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,114,66306997
h static,0.7132867132867133,0.7098419173890872,0.6689244663382594,0.6733522758928074,114,39587039
h static,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,258,70291817
h static,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,235,89089901
h static,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,141,47338124
h static,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,305,10872248
