model,R2,RMSE,epochs,seed
patience static,0.6990599632263184,2.484107494354248,609,95822412
patience static,0.6617350578308105,2.633655309677124,369,24942603
patience static,0.7290934324264526,2.3568944931030273,485,13356886
patience static,0.6970896124839783,2.4922263622283936,270,46913810
patience static,0.6699867248535156,2.6013340950012207,296,42868828
patience static,0.6464840173721313,2.692371368408203,493,39958838
patience static,0.6802083253860474,2.5607309341430664,261,28728463
patience static,0.6938222646713257,2.505631446838379,593,23756669
patience static,0.6089687347412109,2.831627607345581,512,83197857
patience static,0.6977344751358032,2.489572286605835,304,21668732
patience static,0.5947123169898987,2.882784128189087,659,89254563
patience static,0.621094822883606,2.787376880645752,1123,66629388
patience static,0.6492369771003723,2.6818673610687256,427,14265799
patience static,0.6487218141555786,2.6838362216949463,493,13999315
patience static,0.6127880811691284,2.8177649974823,357,22575562
patience static,0.667565643787384,2.610858678817749,329,39345092
patience static,0.7132610082626343,2.424788236618042,343,41227216
patience static,0.6792726516723633,2.564474582672119,450,77827638
patience static,0.6806066036224365,2.559135913848877,339,90801586
patience static,0.6133431792259216,2.815744638442993,520,13561597
patience static,0.6825473308563232,2.55134916305542,328,85329037
patience static,0.6757088899612427,2.5786828994750977,372,36687537
patience static,0.6695412397384644,2.6030893325805664,610,97226012
patience static,0.6907612085342407,2.518125534057617,409,83140807
patience static,0.6998418569564819,2.4808783531188965,282,66306997
patience static,0.6580533385276794,2.647948741912842,551,39587039
patience static,0.6679412126541138,2.6093835830688477,665,70291817
patience static,0.6762185096740723,2.5766561031341553,273,89089901
patience static,0.6818915605545044,2.553983211517334,343,47338124
patience static,0.7206488847732544,2.3933467864990234,342,10872248
h static,0.690646767616272,2.5185916423797607,862,95822412
h static,0.6695849895477295,2.602916717529297,1224,24942603
h static,0.7173387408256531,2.407484769821167,777,13356886
h static,0.6900471448898315,2.521031379699707,1867,46913810
h static,0.643883228302002,2.702256917953491,385,42868828
h static,0.6410181522369385,2.7131052017211914,699,39958838
h static,0.6340969800949097,2.7391347885131836,345,28728463
h static,0.7004776000976562,2.478250026702881,811,23756669
h static,0.5948842763900757,2.8821723461151123,715,83197857
h static,0.6691867113113403,2.604485034942627,410,21668732
h static,0.6518325805664062,2.671926498413086,1493,89254563
h static,0.6502090692520142,2.6781487464904785,1802,66629388
h static,0.684463381767273,2.543637990951538,668,14265799
h static,0.6745510101318359,2.583282470703125,1470,13999315
h static,0.5952516794204712,2.8808650970458984,418,22575562
h static,0.6456819176673889,2.6954238414764404,384,39345092
h static,0.7141106724739075,2.4211928844451904,626,41227216
h static,0.6690400838851929,2.605062246322632,1496,77827638
h static,0.6879892945289612,2.529386281967163,1019,90801586
h static,0.6194663047790527,2.7933602333068848,1146,13561597
h static,0.6530903577804565,2.667095899581909,406,85329037
h static,0.6767586469650269,2.574505567550659,414,36687537
h static,0.6760573983192444,2.577296733856201,659,97226012
h static,0.695330023765564,2.4994544982910156,436,83140807
h static,0.7005804777145386,2.4778239727020264,362,66306997
h static,0.6389505863189697,2.720907211303711,523,39587039
h static,0.6923150420188904,2.511791229248047,722,70291817
h static,0.6649249196052551,2.6212079524993896,353,89089901
h static,0.6762369871139526,2.576582431793213,379,47338124
h static,0.7058830261230469,2.4557855129241943,442,10872248
patience dynamic 01,0.6228382587432861,2.780956745147705,622,95822412
patience dynamic 01,0.6352094411849976,2.7349679470062256,481,24942603
patience dynamic 01,0.6524841785430908,2.6694250106811523,523,13356886
patience dynamic 01,0.6060470938682556,2.842186450958252,791,46913810
patience dynamic 01,0.6675465703010559,2.610933542251587,572,42868828
patience dynamic 01,0.6405240297317505,2.7149717807769775,866,39958838
patience dynamic 01,0.6425391435623169,2.7073514461517334,636,28728463
patience dynamic 01,0.6391428709030151,2.7201826572418213,593,23756669
patience dynamic 01,0.6708164215087891,2.5980618000030518,405,83197857
patience dynamic 01,0.6463564038276672,2.692857265472412,788,21668732
patience dynamic 01,0.6611453890800476,2.6359496116638184,501,89254563
patience dynamic 01,0.6771619915962219,2.572899103164673,784,66629388
patience dynamic 01,0.6646570563316345,2.622255325317383,600,14265799
patience dynamic 01,0.6413058042526245,2.7120182514190674,746,13999315
patience dynamic 01,0.6616238355636597,2.6340880393981934,735,22575562
patience dynamic 01,0.6962992548942566,2.4954757690429688,727,39345092
patience dynamic 01,0.7294338941574097,2.3554131984710693,902,41227216
patience dynamic 01,0.6531299948692322,2.666943311691284,975,77827638
patience dynamic 01,0.669032096862793,2.6050937175750732,763,90801586
patience dynamic 01,0.6509526968002319,2.675300359725952,862,13561597
patience dynamic 01,0.6451674699783325,2.6973800659179688,531,85329037
patience dynamic 01,0.6572862863540649,2.6509170532226562,674,36687537
patience dynamic 01,0.6980828046798706,2.4881374835968018,1083,97226012
patience dynamic 01,0.6335644721984863,2.7411272525787354,516,83140807
patience dynamic 01,0.6925221681594849,2.5109455585479736,903,66306997
patience dynamic 01,0.6586971282958984,2.6454548835754395,753,39587039
patience dynamic 01,0.646032452583313,2.6940903663635254,931,70291817
patience dynamic 01,0.6663780212402344,2.615518093109131,741,89089901
patience dynamic 01,0.6441853046417236,2.701110363006592,919,47338124
patience dynamic 01,0.6877346634864807,2.5304181575775146,548,10872248
patience dynamic 05,0.6290956735610962,2.75779128074646,783,95822412
patience dynamic 05,0.6340076923370361,2.739468812942505,671,24942603
patience dynamic 05,0.6789844036102295,2.565626859664917,627,13356886
patience dynamic 05,0.6515508890151978,2.673007011413574,704,46913810
patience dynamic 05,0.6734097003936768,2.587808132171631,857,42868828
patience dynamic 05,0.6522128582000732,2.670466899871826,973,39958838
patience dynamic 05,0.6468440294265747,2.690999984741211,1087,28728463
patience dynamic 05,0.6699437499046326,2.601503372192383,679,23756669
patience dynamic 05,0.6643028855323792,2.6236398220062256,793,83197857
patience dynamic 05,0.6701340675354004,2.6007533073425293,957,21668732
patience dynamic 05,0.6628679037094116,2.6292412281036377,679,89254563
patience dynamic 05,0.6587213277816772,2.6453611850738525,789,66629388
patience dynamic 05,0.655428409576416,2.658092975616455,781,14265799
patience dynamic 05,0.6607112884521484,2.6376376152038574,706,13999315
patience dynamic 05,0.6671876907348633,2.612342357635498,752,22575562
patience dynamic 05,0.6772042512893677,2.572730541229248,566,39345092
patience dynamic 05,0.7173383235931396,2.4074866771698,1086,41227216
patience dynamic 05,0.6512489914894104,2.6741647720336914,621,77827638
patience dynamic 05,0.6009021997451782,2.860685348510742,1437,90801586
patience dynamic 05,0.6212228536605835,2.7869060039520264,1056,13561597
patience dynamic 05,0.6474969387054443,2.6885111331939697,541,85329037
patience dynamic 05,0.6791962385177612,2.5647802352905273,557,36687537
patience dynamic 05,0.6830379962921143,2.5493767261505127,891,97226012
patience dynamic 05,0.6505376100540161,2.6768908500671387,501,83140807
patience dynamic 05,0.671719491481781,2.5944957733154297,744,66306997
patience dynamic 05,0.6735652089118958,2.5871918201446533,647,39587039
patience dynamic 05,0.6323370933532715,2.7457141876220703,557,70291817
patience dynamic 05,0.7004494667053223,2.4783661365509033,968,89089901
patience dynamic 05,0.5967669486999512,2.8754677772521973,683,47338124
patience dynamic 05,0.7238448858261108,2.3796164989471436,1156,10872248
patience dynamic 10,0.6481649279594421,2.685962677001953,624,95822412
patience dynamic 10,0.6576248407363892,2.6496074199676514,741,24942603
patience dynamic 10,0.6824719905853271,2.551651954650879,771,13356886
patience dynamic 10,0.6542873978614807,2.662490129470825,505,46913810
patience dynamic 10,0.6632753610610962,2.627652168273926,713,42868828
patience dynamic 10,0.6838048696517944,2.546290874481201,391,39958838
patience dynamic 10,0.6440309286117554,2.7016963958740234,584,28728463
patience dynamic 10,0.6654072999954224,2.6193206310272217,813,23756669
patience dynamic 10,0.6836379766464233,2.5469627380371094,241,83197857
patience dynamic 10,0.6605979204177856,2.638078212738037,906,21668732
patience dynamic 10,0.626339316368103,2.768019199371338,461,89254563
patience dynamic 10,0.6312515735626221,2.7497644424438477,793,66629388
patience dynamic 10,0.655470609664917,2.6579298973083496,602,14265799
patience dynamic 10,0.6604607105255127,2.638611316680908,471,13999315
patience dynamic 10,0.6209967136383057,2.7877376079559326,742,22575562
patience dynamic 10,0.652407169342041,2.669720411300659,504,39345092
patience dynamic 10,0.7119911313056946,2.4301514625549316,692,41227216
patience dynamic 10,0.6126608848571777,2.818227767944336,531,77827638
patience dynamic 10,0.6806092262268066,2.5591256618499756,722,90801586
patience dynamic 10,0.6093880534172058,2.830109119415283,732,13561597
patience dynamic 10,0.6780976057052612,2.5691680908203125,527,85329037
patience dynamic 10,0.6765302419662476,2.5754153728485107,984,36687537
patience dynamic 10,0.7076225876808167,2.448512554168701,781,97226012
patience dynamic 10,0.686415433883667,2.5357577800750732,576,83140807
patience dynamic 10,0.6856931447982788,2.5386765003204346,911,66306997
patience dynamic 10,0.6701560020446777,2.6006667613983154,582,39587039
patience dynamic 10,0.6305654048919678,2.752321481704712,1020,70291817
patience dynamic 10,0.6642419099807739,2.623878002166748,762,89089901
patience dynamic 10,0.6597422957420349,2.6414012908935547,1074,47338124
patience dynamic 10,0.6682791113853455,2.608055353164673,531,10872248
patience dynamic 20,0.6479465365409851,2.686796188354492,461,95822412
patience dynamic 20,0.6774808168411255,2.5716283321380615,921,24942603
patience dynamic 20,0.657993495464325,2.6481807231903076,721,13356886
patience dynamic 20,0.6607958078384399,2.6373090744018555,622,46913810
patience dynamic 20,0.6451205015182495,2.6975584030151367,602,42868828
patience dynamic 20,0.6634954214096069,2.626793384552002,643,39958838
patience dynamic 20,0.6168769598007202,2.8028481006622314,541,28728463
patience dynamic 20,0.6465758681297302,2.692021369934082,1268,23756669
patience dynamic 20,0.6073763966560364,2.8373873233795166,642,83197857
patience dynamic 20,0.6594138145446777,2.6426758766174316,802,21668732
patience dynamic 20,0.6555513143539429,2.657618999481201,661,89254563
patience dynamic 20,0.6416935920715332,2.7105515003204346,562,66629388
patience dynamic 20,0.6353477239608765,2.7344491481781006,721,14265799
patience dynamic 20,0.6715075969696045,2.5953328609466553,763,13999315
patience dynamic 20,0.6604576706886292,2.6386232376098633,601,22575562
patience dynamic 20,0.6678043603897095,2.6099212169647217,741,39345092
patience dynamic 20,0.7174384593963623,2.407060146331787,701,41227216
patience dynamic 20,0.6651104688644409,2.6204819679260254,321,77827638
patience dynamic 20,0.6390892863273621,2.7203845977783203,602,90801586
patience dynamic 20,0.637732982635498,2.7254912853240967,1074,13561597
patience dynamic 20,0.6721965074539185,2.5926101207733154,803,85329037
patience dynamic 20,0.6060375571250916,2.8422207832336426,521,36687537
patience dynamic 20,0.675509512424469,2.5794754028320312,641,97226012
patience dynamic 20,0.6671496629714966,2.6124918460845947,542,83140807
patience dynamic 20,0.6777132153511047,2.5707015991210938,663,66306997
patience dynamic 20,0.6400081515312195,2.716919183731079,361,39587039
patience dynamic 20,0.6846209764480591,2.5430026054382324,802,70291817
patience dynamic 20,0.673309326171875,2.588205575942993,681,89089901
patience dynamic 20,0.6178061962127686,2.7994468212127686,683,47338124
patience dynamic 20,0.6686556339263916,2.6065750122070312,461,10872248
patience dynamic 30,0.6759947538375854,2.5775458812713623,641,95822412
patience dynamic 30,0.622893750667572,2.780752182006836,674,24942603
patience dynamic 30,0.6628317832946777,2.6293821334838867,492,13356886
patience dynamic 30,0.6499063968658447,2.679306983947754,461,46913810
patience dynamic 30,0.6513503193855286,2.673776149749756,852,42868828
patience dynamic 30,0.6742377877235413,2.5845251083374023,382,39958838
patience dynamic 30,0.6176708936691284,2.7999424934387207,551,28728463
patience dynamic 30,0.6611690521240234,2.635857582092285,643,23756669
patience dynamic 30,0.6362454891204834,2.731081247329712,762,83197857
patience dynamic 30,0.6267627477645874,2.7664504051208496,911,21668732
patience dynamic 30,0.6547054052352905,2.6608798503875732,461,89254563
patience dynamic 30,0.6790950894355774,2.5651843547821045,884,66629388
patience dynamic 30,0.6018402576446533,2.857321262359619,671,14265799
patience dynamic 30,0.6334958076477051,2.7413840293884277,551,13999315
patience dynamic 30,0.6763190031051636,2.576256036758423,463,22575562
patience dynamic 30,0.7058732509613037,2.4558265209198,704,39345092
patience dynamic 30,0.6895190477371216,2.5231781005859375,432,41227216
patience dynamic 30,0.6632955074310303,2.627573251724243,433,77827638
patience dynamic 30,0.6372524499893188,2.7272982597351074,881,90801586
patience dynamic 30,0.6528815031051636,2.667898654937744,432,13561597
patience dynamic 30,0.711321234703064,2.432976007461548,282,85329037
patience dynamic 30,0.617206335067749,2.801642656326294,494,36687537
patience dynamic 30,0.6965429782867432,2.494474411010742,372,97226012
patience dynamic 30,0.689738392829895,2.5222864151000977,911,83140807
patience dynamic 30,0.6590992212295532,2.6438963413238525,791,66306997
patience dynamic 30,0.6359596252441406,2.73215389251709,702,39587039
patience dynamic 30,0.6245855093002319,2.774507522583008,641,70291817
patience dynamic 30,0.7048273682594299,2.460188865661621,702,89089901
patience dynamic 30,0.6273411512374878,2.76430606842041,643,47338124
patience dynamic 30,0.6528504490852356,2.668017625808716,371,10872248
patience dynamic 50,0.6932309865951538,2.508049964904785,251,95822412
patience dynamic 50,0.6322761178016663,2.7459418773651123,703,24942603
patience dynamic 50,0.6789500713348389,2.5657639503479004,401,13356886
patience dynamic 50,0.6715616583824158,2.5951192378997803,903,46913810
patience dynamic 50,0.6576335430145264,2.649573802947998,701,42868828
patience dynamic 50,0.6351087093353271,2.7353453636169434,551,39958838
patience dynamic 50,0.6722080111503601,2.592564582824707,1051,28728463
patience dynamic 50,0.6674537658691406,2.611298084259033,1004,23756669
patience dynamic 50,0.64827561378479,2.685540199279785,403,83197857
patience dynamic 50,0.6063065528869629,2.841250419616699,751,21668732
patience dynamic 50,0.6508553624153137,2.675673484802246,501,89254563
patience dynamic 50,0.6432117223739624,2.704803466796875,601,66629388
patience dynamic 50,0.6547271013259888,2.6607964038848877,1051,14265799
patience dynamic 50,0.6710999011993408,2.596942901611328,859,13999315
patience dynamic 50,0.6237322092056274,2.7776591777801514,701,22575562
patience dynamic 50,0.6128970980644226,2.817368268966675,552,39345092
patience dynamic 50,0.6616570949554443,2.633958339691162,651,41227216
patience dynamic 50,0.6364643573760986,2.7302591800689697,651,77827638
patience dynamic 50,0.6789084076881409,2.5659303665161133,702,90801586
patience dynamic 50,0.6261005401611328,2.7689034938812256,654,13561597
patience dynamic 50,0.7130856513977051,2.425529718399048,401,85329037
patience dynamic 50,0.6243277788162231,2.7754597663879395,601,36687537
patience dynamic 50,0.6622005105018616,2.631842613220215,557,97226012
patience dynamic 50,0.6924517750740051,2.51123309135437,901,83140807
patience dynamic 50,0.642549455165863,2.70731258392334,401,66306997
patience dynamic 50,0.6186802387237549,2.7962441444396973,752,39587039
patience dynamic 50,0.6689577102661133,2.60538649559021,701,70291817
patience dynamic 50,0.6489330530166626,2.6830291748046875,401,89089901
patience dynamic 50,0.6168352365493774,2.8030006885528564,502,47338124
patience dynamic 50,0.6868695020675659,2.533921003341675,552,10872248
h dynamic 01,0.6637480854988098,2.6258068084716797,1735,95822412
h dynamic 01,0.6808518171310425,2.5581536293029785,1264,24942603
h dynamic 01,0.686639666557312,2.534850835800171,1428,13356886
h dynamic 01,0.6610257625579834,2.6364150047302246,2233,46913810
h dynamic 01,0.6867461800575256,2.5344202518463135,1551,42868828
h dynamic 01,0.6103253364562988,2.826711654663086,1403,39958838
h dynamic 01,0.6447783708572388,2.6988584995269775,1209,28728463
h dynamic 01,0.6517219543457031,2.6723506450653076,1794,23756669
h dynamic 01,0.7145664691925049,2.419262170791626,1549,83197857
h dynamic 01,0.6751827597618103,2.5807738304138184,1718,21668732
h dynamic 01,0.6806321144104004,2.5590336322784424,1180,89254563
h dynamic 01,0.7019309401512146,2.4722299575805664,1382,66629388
h dynamic 01,0.7000330686569214,2.480088233947754,1806,14265799
h dynamic 01,0.6724629402160645,2.5915563106536865,1390,13999315
h dynamic 01,0.6992272734642029,2.483416795730591,1028,22575562
h dynamic 01,0.7039116621017456,2.4640018939971924,1503,39345092
h dynamic 01,0.7298344969749451,2.3536689281463623,1282,41227216
h dynamic 01,0.6630439758300781,2.6285548210144043,1241,77827638
h dynamic 01,0.6601735353469849,2.6397271156311035,1174,90801586
h dynamic 01,0.6409057378768921,2.7135303020477295,1454,13561597
h dynamic 01,0.6543174982070923,2.662374258041382,1489,85329037
h dynamic 01,0.7078933715820312,2.447378396987915,1381,36687537
h dynamic 01,0.7126772403717041,2.427255153656006,1289,97226012
h dynamic 01,0.6662225723266602,2.6161274909973145,963,83140807
h dynamic 01,0.6976051330566406,2.4901046752929688,1223,66306997
h dynamic 01,0.6445801258087158,2.6996116638183594,974,39587039
h dynamic 01,0.6629430055618286,2.62894868850708,1211,70291817
h dynamic 01,0.6896727085113525,2.5225534439086914,1433,89089901
h dynamic 01,0.6819033622741699,2.5539357662200928,1759,47338124
h dynamic 01,0.702803909778595,2.468606948852539,1551,10872248
h dynamic 05,0.6426804065704346,2.7068166732788086,961,95822412
h dynamic 05,0.6552060842514038,2.6589503288269043,1403,24942603
h dynamic 05,0.6619236469268799,2.632920742034912,1403,13356886
h dynamic 05,0.665341854095459,2.6195766925811768,1041,46913810
h dynamic 05,0.6609585285186768,2.63667631149292,1247,42868828
h dynamic 05,0.6296538710594177,2.7557151317596436,1210,39958838
h dynamic 05,0.6702748537063599,2.600198268890381,1276,28728463
h dynamic 05,0.6937799453735352,2.5058045387268066,1243,23756669
h dynamic 05,0.7036590576171875,2.465053081512451,2060,83197857
h dynamic 05,0.6738744974136353,2.585965871810913,1199,21668732
h dynamic 05,0.6855565309524536,2.5392282009124756,1718,89254563
h dynamic 05,0.6683422327041626,2.6078073978424072,869,66629388
h dynamic 05,0.6648931503295898,2.6213321685791016,2395,14265799
h dynamic 05,0.6620103120803833,2.6325833797454834,1639,13999315
h dynamic 05,0.7010610103607178,2.475835084915161,1145,22575562
h dynamic 05,0.6978429555892944,2.4891254901885986,1725,39345092
h dynamic 05,0.711997389793396,2.4301252365112305,1576,41227216
h dynamic 05,0.6697400212287903,2.6023061275482178,972,77827638
h dynamic 05,0.5981035232543945,2.8706979751586914,1460,90801586
h dynamic 05,0.6267207264900208,2.766606330871582,1261,13561597
h dynamic 05,0.6469559669494629,2.6905734539031982,1616,85329037
h dynamic 05,0.7332856059074402,2.338587760925293,1521,36687537
h dynamic 05,0.712154746055603,2.4294612407684326,1455,97226012
h dynamic 05,0.6780718564987183,2.5692708492279053,779,83140807
h dynamic 05,0.6758808493614197,2.5779991149902344,1138,66306997
h dynamic 05,0.6813415288925171,2.556190013885498,1473,39587039
h dynamic 05,0.7012017965316772,2.4752519130706787,1513,70291817
h dynamic 05,0.7122790813446045,2.428936004638672,1711,89089901
h dynamic 05,0.680665135383606,2.558901309967041,1681,47338124
h dynamic 05,0.7226340174674988,2.3848276138305664,1149,10872248
h dynamic 10,0.664111852645874,2.6243863105773926,1112,95822412
h dynamic 10,0.6772915124893188,2.572382688522339,823,24942603
h dynamic 10,0.6979376673698425,2.4887351989746094,1459,13356886
h dynamic 10,0.6804071664810181,2.5599348545074463,1142,46913810
h dynamic 10,0.6709410548210144,2.5975701808929443,1257,42868828
h dynamic 10,0.6672816276550293,2.611973762512207,1374,39958838
h dynamic 10,0.6920925378799438,2.5126993656158447,1298,28728463
h dynamic 10,0.6509319543838501,2.675379753112793,1184,23756669
h dynamic 10,0.6764687299728394,2.575660228729248,1563,83197857
h dynamic 10,0.6942749619483948,2.5037786960601807,1789,21668732
h dynamic 10,0.6570212841033936,2.6519417762756348,1382,89254563
h dynamic 10,0.6686503887176514,2.606595754623413,2391,66629388
h dynamic 10,0.6930869817733765,2.508638381958008,2186,14265799
h dynamic 10,0.721733808517456,2.3886947631835938,1398,13999315
h dynamic 10,0.6578096747398376,2.6488921642303467,1156,22575562
h dynamic 10,0.6943688988685608,2.5033938884735107,1543,39345092
h dynamic 10,0.723288893699646,2.3820104598999023,1035,41227216
h dynamic 10,0.6363789439201355,2.7305800914764404,1185,77827638
h dynamic 10,0.7047095894813538,2.460679769515991,1395,90801586
h dynamic 10,0.6413576602935791,2.711822032928467,1305,13561597
h dynamic 10,0.6997538805007935,2.4812421798706055,1484,85329037
h dynamic 10,0.6758519411087036,2.5781140327453613,2242,36687537
h dynamic 10,0.7387771606445312,2.314387083053589,1743,97226012
h dynamic 10,0.7352771759033203,2.3298399448394775,1315,83140807
h dynamic 10,0.6933664083480835,2.5074963569641113,970,66306997
h dynamic 10,0.6729035973548889,2.5898122787475586,1648,39587039
h dynamic 10,0.6400576829910278,2.7167322635650635,1072,70291817
h dynamic 10,0.6997615694999695,2.4812099933624268,1244,89089901
h dynamic 10,0.6692142486572266,2.604376792907715,1328,47338124
h dynamic 10,0.7099220752716064,2.4388649463653564,1242,10872248
h dynamic 20,0.6472606658935547,2.6894121170043945,1765,95822412
h dynamic 20,0.65976482629776,2.6413137912750244,1275,24942603
h dynamic 20,0.6897711157798767,2.522153615951538,1505,13356886
h dynamic 20,0.658707857131958,2.645413637161255,1479,46913810
h dynamic 20,0.655025839805603,2.6596450805664062,854,42868828
h dynamic 20,0.6249467134475708,2.773172616958618,2279,39958838
h dynamic 20,0.7100224494934082,2.4384429454803467,1498,28728463
h dynamic 20,0.6474416851997375,2.6887218952178955,1305,23756669
h dynamic 20,0.6307650804519653,2.751577854156494,935,83197857
h dynamic 20,0.6737009882926941,2.586653709411621,1462,21668732
h dynamic 20,0.6731124520301819,2.5889854431152344,1365,89254563
h dynamic 20,0.6981508731842041,2.487856864929199,1556,66629388
h dynamic 20,0.7055633068084717,2.457119941711426,1623,14265799
h dynamic 20,0.6949774026870728,2.5009005069732666,1761,13999315
h dynamic 20,0.6918215751647949,2.5138044357299805,1543,22575562
h dynamic 20,0.6789886951446533,2.5656096935272217,1945,39345092
h dynamic 20,0.7045358419418335,2.4614036083221436,1567,41227216
h dynamic 20,0.662119448184967,2.6321582794189453,1333,77827638
h dynamic 20,0.6065584421157837,2.840341329574585,1165,90801586
h dynamic 20,0.6294772624969482,2.7563719749450684,1666,13561597
h dynamic 20,0.672107458114624,2.5929620265960693,2920,85329037
h dynamic 20,0.6279122829437256,2.7621870040893555,602,36687537
h dynamic 20,0.7099512815475464,2.43874192237854,1465,97226012
h dynamic 20,0.732766330242157,2.340862989425659,1769,83140807
h dynamic 20,0.7054387927055359,2.457639694213867,1268,66306997
h dynamic 20,0.600803554058075,2.86103892326355,1706,39587039
